PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
EDITOR AND ASST CLERK,EDITOR AND ASSISTANT CLERK  ,3
EDITOR II (OVERTIME),EDITOR II   ,3
EDUCATION COORDINATOR,EDUCATION COORDINATOR  ,3
ENROLLING CLERK,ENROLLING CLERK  ,3
EXECUTIVE ADMINISTRATOR,EXECUTIVE ADMINISTRATOR  ,3
EXECUTIVE AIDE AND SCHEDULER,EXECUTIVE AIDE/SCHEDULER  ,3
FLOOR ASSISTANT AND SPECIAL ASSIST,FLOOR ASSISTANT/SPECIAL ASSISTANT  ,3
FOREIGN AFFAIRS LA,FOREIGN AFFAIRS LEGISLATIVE ASSISTANT  ,3
GRANTS AND SPECIAL PROJECTS,GRANTS AND SPECIAL PROJECTS  ,3
INSPECTOR GENERAL,INSPECTOR GENERAL  ,3
INTERIM DISTRICT DIRECTOR,INTERIM DISTRICT DIRECTOR  ,3
INTERN - MINORITY,INTERN - MINORITY  ,3
JUNIOR LEGISLATIVE ASSOCIATE,JUNIOR LEGISLATIVE ASSOCIATE  ,3
JUNIOR LEGISLATIVE ASSOCIATE (OVERTIME),JUNIOR LEGISLATIVE ASSOCIATE   ,3
LEGIS ASSISTANT,LEGISLATIVE ASSISTANT  ,3
LEGIS ASSISTANT-FULL COMMITTEE,LEGISLATIVE ASSISTANT-FULL COMMITTEE  ,3
LEGIS CORR AND DEP PRESS SECRETARY,LEGISLATIVE CORRESPONDENT/DEPUTY PRESS SECRETARY  ,3
LEGISLATIVE ASSISTANT AND CORRES,LEGISLATIVE ASSISTANT/LEGISLATIVE CORRESPONDENT  ,3
LEGISLATIVE CORRES AND SYS ADMINIS,LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINIS  ,3
LEGISLATIVE DIRECTOR AND APPRO ASS,LEGISLATIVE DIRECTOR/PPROFESSIONAL  ,3
LEGISLATIVE RESEARCH ASSIST AND WR,LEGISLATIVE RESEARCH ASSISTANT/WRITER  ,3
LIAISON MEM OFC-PROG CORR,LIAISON MEMBER OFC-PROG CORRESPONDENCE  ,3
LWOP EMPLOYEE,LWOP EMPLOYEE  ,3
MANAGER OF COLLECTIONS,MANAGER OF COLLECTIONS  ,3
"MANAGER, LIBRARY SERVICES","MANAGER, LIBRARY SERVICES  ",3
"MANAGER, PUBLIC INFORMATION","MANAGER, PUBLIC INFORMATION  ",3
"MANAGER,APPOINTMENTS DESKS","MANAGER,APPOINTMENTS DESKS  ",3
MANHATTAN COMMUNITY REP,MANHATTAN COMMUNITY REPRESENTATIVE  ,3
MEMBERS & FAMILY ROOM COORD.,MEMBERS AND FAMILY ROOM COORDINATOR  ,3
"MGNR, RECORDS & REGIS","MANAGER, RECORDS AND REGIS  ",3
MGR OF OPERATIONS & EMERG PREP,MANAGER OF OPERATIONS AND EMERGENCY PREPRESENTATIVE  ,3
NETWORK ADMINISTRATOR (OVERTIME),NETWORK ADMINISTRATOR   ,3
OFFICE MANAGER AND DISTRICT OFFICE,OFFICE MANAGER/DISTRICT OFFICE  ,3
PAYROLL & BENEFITS GENERALIST (OVERTIME),PAYROLL AND BENEFITS GENERALIST   ,3
PAYROLL & BENEFITS MANAGER,PAYROLL AND BENEFITS MANAGER  ,3
PERSONNEL MNGMT SPECIALIST,PERSONNEL MNGMT SPECIALIST  ,3
POLICY ADVISOR AND COUNSEL,POLICY ADVISOR/COUNSEL  ,3
POLICY COORDINATOR,POLICY COORDINATOR  ,3
PRESS INTERN,PRESS INTERN  ,3
PRESS SECRETARY AND LEGISLATIVE AS,PRESS SECRETARY/LEGISLATIVE ASSISTANT  ,3
PRINCIPAL AND GUIDANCE COUNSEL,PRINCIPAL AND GUIDANCE COUNSEL  ,3
PRINTING EDITOR,PRINTING EDITOR  ,3
PROGRAM MGR (COMMUNICATION),PROGRAM MANAGER (COMMUNICATION)  ,3
READING CLERK,READING CLERK  ,3
REFERENCE ASSISTANT,REFERENCE ASSISTANT  ,3
REGIS & COMPL CLERK (A),REGIS AND COMPL CLERK   ,3
REP LEGISLATIVE ASST,REPRESENTATIVE LEGISLATIVE ASSISTANT  ,3
REP. SUB. PROFES. STAFF,REPRESENTATIVE SUBCOMMITTEE PROFESSIONAL STAFF MEMBER  ,3
REPUBLICAN OFFICE MANAGER,REPUBLICAN OFFICE MANAGER  ,3
RESOURCE AND INEEL DIRECTOR,RESOURCE/INEEL DIRECTOR  ,3
RESOURCES MANAGER,RESOURCES MANAGER  ,3
SAFETY COORDINATOR,SAFETY COORDINATOR  ,3
SCHEDULING DIRECTOR,SCHEDULING DIRECTOR  ,3
SECURITY DIRECTOR,SECURITY DIRECTOR  ,3
SENIOR AUDIO SPECIALIST (OVERTIME),SENIOR AUDIO SPECIALIST   ,3
SENIOR HARDWARE ENGINEER (OVERTIME),SENIOR HARDWARE ENGINEER   ,3
SENIOR NETWORK ADMINISTRATOR,SENIOR NETWORK ADMINISTRATOR  ,3
SENIOR NETWORK ADMINISTRATOR (OVERTIME),SENIOR NETWORK ADMINISTRATOR   ,3
SENIOR POLICY DIRECTOR,SENIOR POLICY DIRECTOR  ,3
SENIOR WEB EDITOR,SENIOR WEB EDITOR  ,3
SERVICES MANAGER,SERVICES MANAGER  ,3
SHARED STAFFER-PROFESS. STAFF,SHARED STAFFER-PROFESS. STAFF  ,3
SPECIAL PERSONNEL SERVICES,SPECIAL PERSONNEL SERVICES  ,3
SPECIAL PROJECTS,SPECIAL PROJECTS  ,3
SPECIAL PROJECTS ASSISTANT,SPECIAL PROJECTS ASSISTANT  ,3
SR EDUCATION POLICY ADVISOR,SENIOR EDUCATION POLICY ADVISOR  ,3
SR LEGISLATIVE DATA SPECIALIST,SENIOR LEGISLATIVE DATA SPECIALIST  ,3
SR PAYROLL & BENS GENERALIST (OVERTIME),SENIOR PAYROLL AND BENS GENERALIST   ,3
SR POLICY ADVISOR & COUNSEL,SENIOR POLICY ADVISOR AND COUNSEL  ,3
SR REFERENCE ASST,SENIOR REFERENCE ASSISTANT  ,3
SR REQUISITIONS & PRINT CLERK,SENIOR REQUISITIONS AND PRINT CLERK  ,3
STAFF,STAFF  ,3
STAFF ASSISTANT AND OFFICE MANAGER,STAFF ASSISTANT/OFFICE MANAGER  ,3
"STAFF ASST, IMM OFC","STAFF ASSISTANT, IMM OFFICE  ",3
STAFF ASST AND SCHEDULER,STAFF ASSISTANT/SCHEDULER  ,3
STAFF ASST AND SYSTEMS MANAGER,STAFF ASSISTANT/SYSTEMS MANAGER  ,3
STAFF ASST-DISTRICT OFFICE,STAFF ASSISTANT-DISTRICT OFFICE  ,3
STAFF DIRECTOR - RAILROADS,STAFF DIRECTOR - RAILROADS  ,3
"STAFF DIRECTOR, AVIATION SUB.","STAFF DIRECTOR, AVIATION SUBCOMMITTEE  ",3
STAFF AND SCHEDULING ASSISTANT,STAFF/SCHEDULING ASSISTANT  ,3
SUBCOMMITTEE COUNSEL,SUBCOMMITTEE COUNSEL  ,3
SUMMER ASSOCIATE (OTHER COMPENSATION),SUMMER ASSOCIATE   ,3
SYSTEMS IMPLEMENT. PROG. MNGR,SYSTEMS IMPLEMENT. PROG. MANAGER  ,3
TALLY CLERK,TALLY CLERK  ,3
TEACHER AIDE (OVERTIME),TEACHER AIDE   ,3
TELEPHONE STAFF ASSISTANT (OVERTIME),TELEPHONE STAFF ASSISTANT   ,3
TRAINING COORDINATOR,TRAINING COORDINATOR  ,3
TRANSCRIBER (OVERTIME),TRANSCRIBER   ,3
WASHINGTON DC INTERN,WASHINGTON DC INTERN  ,3
WEB CONTENT DEVELOPER,WEB CONTENT DEVELOPER  ,3
ACCOUNTING TECHNICIAN,ACCOUNTING TECHNICIAN  ,4
ACTING DISTRICT DIRECTOR,ACTING DISTRICT DIRECTOR  ,4
ADMIN STAFF ASSIST. & SCHED.,ADMINISTRATIVE STAFF ASSISTANT AND SCHEDULER  ,4
ADMINISTRATIVE SPECIALIST (A),ADMINISTRATIVE SPECIALIST   ,4
ADVISOR TO THE CHAIRMAN,ADVISOR TO THE CHAIRMAN  ,4
ANTITRUST COUNSEL,ANTITRUST COUNSEL  ,4
ASSISTANT LEGISLATIVE CLERK (OVERTIME),ASSISTANT LEGISLATIVE CLERK   ,4
ASSISTANT TO CONG. KINGSTON,ASSISTANT TO CONGRESSMAN KINGSTON  ,4
ASSOCIATE ADMIN. COUNSEL,ASSOCIATE ADMINISTRATOR COUNSEL  ,4
ASST CHIEF CLERK (DEBATES) (OVERTIME),ASSISTANT CHIEF CLERK DEBATES   ,4
ASST CLERK TO PARLIMENTARIAN,ASSISTANT CLERK TO PARLIMENTARIAN  ,4
ASST FLOOR CHIEF,ASSISTANT FLOOR CHIEF  ,4
ASST LEGISLATIVE CLERK,ASSISTANT LEGISLATIVE CLERK  ,4
ASST REGIS & COMP CLERK (A),ASSISTANT REGIS AND COMP CLERK   ,4
ASST SGT AT ARMS FLOOR SECURTY,ASSISTANT SERGEANT AT ARMS FLOOR SECURTY  ,4
ASST SPEC EVENTS AND PROTOCOL,ASSISTANT SPECIALIST EVENTS/PROTOCOL  ,4
ASST TO CONG WASSERMAN-SCHULTZ,ASSISTANT TO CONGRESSMAN WASSERMAN-SCHULTZ  ,4
ASST TO CONG. ADERHOLT,ASSISTANT TO CONGRESSMAN ADERHOLT  ,4
ASST TO CONG. CALVERT,ASSISTANT TO CONGRESSMAN CALVERT  ,4
ASST TO CONG. GRANGER,ASSISTANT TO CONGRESSMAN GRANGER  ,4
ASST. TO CONG. EMERSON,ASSISTANT TO CONGRESSMAN EMERSON  ,4
ASST. TO CONG. WAMP,ASSISTANT TO CONGRESSMAN WAMP  ,4
ASST. TO CONG. WOLF,ASSISTANT TO CONGRESSMAN WOLF  ,4
BUS OPERATOR,BUS OPERATOR  ,4
BUSINESS CONTINUITY MANAGER,BUSINESS CONTINUITY MANAGER  ,4
BUSINESS LIAISON,BUSINESS LIAISON  ,4
CALENDAR CLERK,CALENDAR CLERK  ,4
CASEWORK SUPERVISOR,CASEWORK SUPERVISOR  ,4
CASEWORKER (OTHER COMPENSATION),CASEWORKER   ,4
CASEWORKER DIRECTOR,CASEWORKER DIRECTOR  ,4
CASEWORKER SPECIALIST,CASEWORKER SPECIALIST  ,4
CASEWORKER SUPERVISOR,CASEWORKER SUPERVISOR  ,4
CASEWORKER AND OUTREACH,CASEWORKER/OUTREACH  ,4
CHIEF FINANCIAL OFFICER,CHIEF FINANCIAL OFFICER  ,4
CHIEF INVESTIGATIVE COUNSEL,CHIEF INVESTIGATIVE COUNSEL  ,4
CHIEF OF STAFF AND COMM DIRECTOR,CHIEF OF STAFF/COMMUNICATION DIRECTOR  ,4
CHIEF OF STAFF AND COUNSEL,CHIEF OF STAFF/COUNSEL  ,4
CHIEF OF STAFF-WASHINGTON DC,CHIEF OF STAFF-WASHINGTON DC  ,4
CHIEF TAX COUNSEL,CHIEF TAX COUNSEL  ,4
"CLERK, DEMOCRATIC STAFF","CLERK, DEMOCRATIC STAFF  ",4
COMMUNICATIONS ADVISOR,COMMUNICATIONS ADVISOR  ,4
COMMUNICATIONS DIRECTOR AND LEGIS,COMMUNICATIONS DIRECTOR/LEGISLATIVE  ,4
COMMUNICATIONS SPEC (A),COMMUNICATIONS SPECIALIST   ,4
COMMUNITY OUTREACH,COMMUNITY OUTREACH  ,4
CONGRESSIONAL LIAISON,CONGRESSIONAL LIAISON  ,4
CONGRESSIONAL STAFF ASSISTANT,CONGRESSIONAL STAFF ASSISTANT  ,4
CONSERVATIVE COALITIONS DIRECT,CONSERVATIVE COALITIONS DIRECTOR  ,4
CONSTIT RELA REPRESENTATIVE,CONSTITUENT RELATIONS REPRESENTATIVE  ,4
CONSTITUENT AIDE AND FIELD REP,CONSTITUENT AIDE/FIELD DIRECTOR REPRESENTATIVE  ,4
CONSTITUENT AIDE AND FIELD REP.,CONSTITUENT AIDE/FIELD DIRECTOR REPRESENTATIVE  ,4
CONSTITUENT LIASION,CONSTITUENT LIASION  ,4
CONSTITUENT OUTREACH DIRECTOR,CONSTITUENT OUTREACH DIRECTOR  ,4
CONSTITUENT OUTREACH REP.,CONSTITUENT OUTREACH REPRESENTATIVE  ,4
CONSTITUENT SERVICE AIDE,CONSTITUENT SERVICE AIDE  ,4
CONSTITUENT SERVICES REP - TWO,CONSTITUENT SERVICES REPRESENTATIVE - TWO  ,4
CONSTITUENT SERVICES REPRESENT (OTHER COMPENSATION),CONSTITUENT SERVICES REPRESENTATIVE  ,4
CONTRACT ADMINISTRATOR,CONTRACT ADMINISTRATOR  ,4
COUNSEL AND BUDGET ANALYST,COUNSEL AND BUDGET ANALYST  ,4
DC SCHEDULER,DC SCHEDULER  ,4
DEP. CHIEF OF STAFF FOR ADMIN.,DEPUTY CHIEF OF STAFF FOR ADMINISTRATOR  ,4
DEPUTY CHIEF CLERK,DEPUTY CHIEF CLERK  ,4
DEPUTY CHIEF OF STAFF AND COUNSEL,DEPUTY CHIEF OF STAFF/COUNSEL  ,4
DEPUTY DISTRICT ADMINISTRATOR,DEPUTY DISTRICT ADMINISTRATOR  ,4
DEPUTY LEGISLATIVE DIRECTOR,DEPUTY LEGISLATIVE DIRECTOR  ,4
DEPUTY PRESS SECTY AND STAFF ASST,DEPUTY PRESS SECRETARY/STAFF ASSISTANT  ,4
DEPUTY STAFF DIR AND COMMUNICATION,DEPUTY STAFF DIRECTOR/COMMUNICATION  ,4
DIR OF INTERGOV’T AFFAIRS,DIRECTOR OF INTERGOVERNMENT AFFAIRS  ,4
DIRECTOR CONSTITUENT SVC,DIRECTOR CONSTITUENT SERVICE  ,4
DIRECTOR OF ECONOMIC DEVELOPME,DIRECTOR OF ECONOMIC DEVELOPMENT  ,4
"DIRECTOR, CONSTITUENT SERVICES","DIRECTOR, CONSTITUENT SERVICES  ",4
DISTRICT AIDE AND CASEWORKER,DISTRICT AIDE/CASEWORKER  ,4
DISTRICT COMMUNICATIONS COORD.,DISTRICT COMMUNICATIONS COORDINATOR  ,4
DISTRICT FIELD COORDINATOR,DISTRICT FIELD DIRECTOR COORDINATOR  ,4
DISTRICT OFC MANAGER AND SCHEDULE,DISTRICTOFFICE MANAGER/SCHEDULER  ,4
DISTRICT OFFICE ADMINISTRATOR,DISTRICT OFFICE ADMINISTRATOR  ,4
DISTRICT OFFICE STAFF ASST,DISTRICT OFFICE STAFF ASSISTANT  ,4
DISTRICT PROGRAMS COORDINATOR,DISTRICT PROGRAMS COORDINATOR  ,4
DOCUMENT PRODUCT CLERK (OVERTIME),DOCUMENT PRODUCT CLERK   ,4
DPTY CHF OF STAFF FOR ADMIN,DEPUTY CHIEF OF STAFF FOR ADMINISTRATIVE  ,4
ELECTIONS COUNSEL,ELECTIONS COUNSEL  ,4
EXECUTIVE ASSISTANT-DISTRICT,EXECUTIVE ASSISTANT-DISTRICT  ,4
EXECUTIVE ASST AND OFFICE MANAGER,EXECUTIVE ASSISTANT/OFFICE MANAGER  ,4
FIELD REPRESENTATIVE AND GRANTS CO,FIELD DIRECTOR REPRESENTATIVE/GRANTS COORDINATOR  ,4
FINANCE SPECIALIST,FINANCE SPECIALIST  ,4
FINANCIAL ANALYST,FINANCIAL ANALYST  ,4
FINANCIAL ASSISTANT,FINANCIAL ASSISTANT  ,4
FINANCIAL DIRECTOR,FINANCIAL DIRECTOR  ,4
GENERAL COUNSEL (OTHER COMPENSATION),GENERAL COUNSEL   ,4
GRAPHICS & DESKTOP PUBL SPEC,GRAPHICS AND DESKTOP PUBLICATIONS SPECIALIST  ,4
HEALTH POLICY ADVISOR,HEALTH POLICY ADVISOR  ,4
INFO SYSTEMS SECURITY ANALYST,INFORMATION SYSTEMS SECURITY ANALYST  ,4
INFORMATION SYSTEMS MANAGER,INFORMATION SYSTEMS MANAGER  ,4
INFORMATION SYSTEMS SPECIALIST,INFORMATION SYSTEMS SPECIALIST  ,4
INTERN-FULL COMMITTEE,INTERN-FULL COMMITTEE  ,4
JR LEGISLATIVE ASSOCIATE,JUNIOR LEGISLATIVE ASSOCIATE  ,4
JR LEGISLATIVE ASSOCIATE (OVERTIME),JUNIOR LEGISLATIVE ASSOCIATE   ,4
JR PROFESSIONAL STAFF MEMBER,JUNIOR PROFESSIONAL STAFF MEMBER  ,4
LA,LEGISLATIVE ASSISTANT,4
LEGISLATIVE ASSISTANT AND PRESS AS,LEGISLATIVE ASSISTANT/PRESS ASSISTANT ,4
LEGISLATIVE ASSOCIATE,LEGISLATIVE ASSOCIATE  ,4
LEGISLATIVE CLERK,LEGISLATIVE CLERK  ,4
LEGISLATIVE CORR AND STAFF ASST.,LEGISLATIVE CORRESPONDENT/STAFF ASSISTANT  ,4
LEGISLATIVE CORRESPONDENT.,LEGISLATIVE CORRESPONDENT  ,4
LEGISLATIVE CORRESPONDENT AND PRES,LEGISLATIVE CORRESPONDENT/PRESS SECRETARY,4
LEGISLATIVE COUNSEL (OTHER COMPENSATION),LEGISLATIVE COUNSEL   ,4
LEGISLATIVE FELLOW,LEGISLATIVE FELLOW  ,4
MAJORITY STAFF DIRECTOR,MAJORITY STAFF DIRECTOR  ,4
MEDIA DIRECTOR,MEDIA DIRECTOR  ,4
MEMBER SERVICES DIRECTOR,MEMBER SERVICES DIRECTOR  ,4
MILITARY LIAISON,MILITARY LIAISON  ,4
MINORITY ADMINISTRATIVE AIDE,MINORITY ADMINISTRATIVE AIDE  ,4
MINORITY CHIEF COUNSEL,MINORITY CHIEF COUNSEL  ,4
MINORITY CHIEF OF STAFF,MINORITY CHIEF OF STAFF  ,4
MINORITY LEGISLATIVE ASSISTANT,MINORITY LEGISLATIVE ASSISTANT  ,4
MINORITY PROFESSIONAL STAFF,MINORITY PROFESSIONAL STAFF MEMBER MEMBER,4
MOBILE OFFICE DIRECTOR,MOBILE OFFICE DIRECTOR  ,4
NETWORK SYSTEMS ENGINEER,NETWORK SYSTEMS ENGINEER  ,4
OFC MANAGER AND EXECUTIVE ASST,OFFICE MANAGER/EXECUTIVE ASSISTANT  ,4
OFFICE MANAGER AND DISTRICT REP,OFFICE MANAGER/DISTRICT REPRESENTATIVE  ,4
OFFICE MANAGER AND SCHEDULING,OFFICE MANAGER/SCHEDULING  ,4
OFFICE MGR AND SCHEDULER,OFFICE MANAGER/SCHEDULER  ,4
OFFICIAL REPORTER (A),OFFICIAL REPORTER   ,4
OFFICIAL REPORTER (A) (OVERTIME),OFFICIAL REPORTER    ,4
PARLIAMENTARIAN,PARLIAMENTARIAN  ,4
PART TIME,PART TIME  ,4
PERSONAL ASSISTANT,PERSONAL ASSISTANT  ,4
PHOTOGRAPHER,PHOTOGRAPHER  ,4
POLICY ADVISOR AND COUNSEL-STATUTO,POLICY ADVISOR/COUNSEL-STATUTO  ,4
PRESS ASSISTANT (OVERTIME),PRESS ASSISTANT   ,4
PRINCIPAL TECHNICAL TRAINER,PRINCIPAL TECHNICAL TRAINER  ,4
PROCUREMENT SPECIALIST,PROCUREMENT SPECIALIST  ,4
PROF. STAFF AND SUBCOMM. ON E & E,PROFESSIONAL STAFF/SUBCOMMITTEE ON ENERGY AND ENVIRONMENT  ,4
PROFESSIONAL STAFF- O & I,PROFESSIONAL STAFF- OVERSIGHT AND INVESTIGATIONS  ,4
PROGRAM DIRECTOR,PROGRAM DIRECTOR  ,4
PROJECTS ASSISTANT,PROJECTS ASSISTANT  ,4
RECEIVING AND WAREHOUSE SPEC,RECEIVING/WAREHOUSE SPECIALIST  ,4
RECEPTIONIST-STAFF ASST,RECEPTIONIST-STAFF ASSISTANT  ,4
REFUND COUNSEL,REFUND COUNSEL  ,4
REGIONAL REPRESENTATIVE.,REGIONAL REPRESENTATIVE  ,4
REPUBLICAN CHIEF COUNSEL,REPUBLICAN CHIEF COUNSEL  ,4
S.C. STAFF DIR & CHIEF COUNSEL,SUBCOMMITTEE STAFF DIRECTOR AND CHIEF COUNSEL  ,4
SCHEDULER (OVERTIME),SCHEDULER   ,4
SCHEDULER AND LEGISLATIVE AIDE,SCHEDULER/LEGISLATIVE AIDE  ,4
SECRETARY,SECRETARY  ,4
SENIOR ACCOUNTANT,SENIOR ACCOUNTANT  ,4
SENIOR EXECUTIVE ASSISTANT,SENIOR EXECUTIVE ASSISTANT  ,4
SENIOR FIELD DEPUTY,SENIOR FIELD DIRECTOR DEPUTY  ,4
SENIOR LEGISLATIVE ASSISTANT (OTHER COMPENSATION),SENIOR LEGISLATIVE ASSISTANT   ,4
SENIOR SOFTWARE SPECIALIST,SENIOR SOFTWARE SPECIALIST  ,4
SPECIAL PROJECTS COORDINATOR (,SPECIAL PROJECTS COORDINATOR,4
SPECIAL PROJECTS MANAGER,SPECIAL PROJECTS MANAGER  ,4
SR ADVISOR AND COMM DIRECTOR,SENIOR ADVISOR/COMMUNICATION DIRECTOR  ,4
SR CASEWORKER,SENIOR CASEWORKER  ,4
SR COMMUNITY REPRESENTATIVE,SENIOR COMMUNITY REPRESENTATIVE  ,4
SR ELECTRONICS TECH (A),SENIOR ELECTRONICS TECHNICAL   ,4
SR LEGISLATIVE AIDE,SENIOR LEGISLATIVE AIDE  ,4
SR MODULAR FURNITURE SPEC.,SENIOR MODULAR FURNITURE SPECIALIST  ,4
SR NETWORK COMM SPEC (A),SENIOR NETWORK COMMUNICATION SPECIALIST   ,4
SR NETWORK COMM SPECIALIST (A),SENIOR NETWORK COMMUNICATION SPECIALIST   ,4
SR POLICY ADVISOR AND COUNSEL,SENIOR POLICY ADVISOR AND COUNSEL  ,4
SR SYSTEMS ANALYST,SENIOR SYSTEMS ANALYST  ,4
SR SYSTEMS SECURITY ENGINEER,SENIOR SYSTEMS SECURITY ENGINEER  ,4
SR TELECOMM ADMIN,SENIOR TELECOMMUNICATION ADMINISTRATIVE  ,4
SR. APPLICATION DBA SPECIALIST,SENIOR  APPLICATION DBA SPECIALIST  ,4
STAFF ACCOUNTANT (A),STAFF ACCOUNTANT   ,4
STAFF ASSISTANT - CORRES.,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,4
STAFF ASSISTANT - CORRES. (OVERTIME),STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT   ,4
STAFF ASSISTANT - FULL COMMITT,STAFF ASSISTANT - FULL COMMITTEE  ,4
STAFF ASSISTANT-DISTRICT,STAFF ASSISTANT-DISTRICT  ,4
STAFF ASST AND LEG CORRESPONDENT,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,4
STAFF ATTORNEY,STAFF ATTORNEY  ,4
STAFF DIR & CHIEF COUNSEL,STAFF DIRECTOR AND CHIEF COUNSEL  ,4
STATE DIRECTOR,STATE DIRECTOR  ,4
SUBCOMMITTEE DIRECTOR,SUBCOMMITTEE DIRECTOR  ,4
SUBCOMMITTEE STAFF ASSOCIATE,SUBCOMMITTEE STAFF ASSOCIATE  ,4
SUMMER ASSOCIATE,SUMMER ASSOCIATE  ,4
"SUPERVISOR, CUSTOMER SOL CONS.","SUPERVISOR, CUSTOMER SOL CONS.  ",4
TECHNOLOGY SOLUTIONS ENGINEER,TECHNOLOGY SOLUTIONS ENGINEER  ,4
USER INTERFACE DEVELOPER,USER INTERFACE DEVELOPER  ,4
VENDOR MGMT COUNSELOR,VENDOR MANAGEMENT COUNSELOR  ,4
VISITING COUNSEL,VISITING COUNSEL  ,4
WASHINGTON DIRECTOR,WASHINGTON DIRECTOR  ,4
WEBMASTER,WEBMASTER  ,4
WORKFLOW COORDINATOR,WORKFLOW COORDINATOR  ,4
ACCOUNTANT,ACCOUNTANT  ,5
ACQUISITION COUNSELOR (OVERTIME),ACQUISITION COUNSELOR   ,5
AREA COORDINATOR,AREA COORDINATOR  ,5
ASSISTANT DIRECTOR,ASSISTANT DIRECTOR  ,5
ASSISTANT LEGISLATIVE CLERK,ASSISTANT LEGISLATIVE CLERK  ,5
ASSISTANT TALLY CLERK,ASSISTANT TALLY CLERK  ,5
ASST CHIEF CLERK (DEBATES),ASSISTANT CHIEF CLERK (DEBATES)  ,5
ASST. TO CONG. PRICE,ASSISTANT TO CONGRESSMAN PRICE  ,5
COMMITTEE PRINTER,COMMITTEE PRINTER  ,5
COMMUNICATIONS,COMMUNICATIONS  ,5
COMMUNITY RELATIONS ASSISTANT,COMMUNITY RELATIONS ASSISTANT  ,5
CONTRACTS ADMINISTRATOR,CONTRACTS ADMINISTRATOR  ,5
DIR OF MEMBER SERVICES,DIRECTOR OF MEMBER SERVICES  ,5
DIRECTOR OF ADMINISTRATION,DIRECTOR OF ADMINISTRATION  ,5
DIRECTOR OF COMMUNITY OUTREACH,DIRECTOR OF COMMUNITY OUTREACH  ,5
EDITOR II,EDITOR II  ,5
EXECUTIVE ASSISTANT (OTHER COMPENSATION),EXECUTIVE ASSISTANT   ,5
EXECUTIVE ASSISTANT (OVERTIME),EXECUTIVE ASSISTANT   ,5
EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR  ,5
FIELD REPRESENTATIVE (OTHER COMPENSATION),FIELD DIRECTOR REPRESENTATIVE   ,5
FIELD REPRESENTATIVE (OVERTIME),FIELD DIRECTOR REPRESENTATIVE   ,5
HELPDESK TECHNICIAN,HELPDESK TECHNICIAN  ,5
HUMAN RESOURCES SPECIALIST,HUMAN RESOURCES SPECIALIST  ,5
JOURNEYMAN TEXTILE SPEC (OVERTIME),JOURNEYMAN TEXTILE SPECIALIST   ,5
LEGIS CORR AND PRESS ASST,LEGISLATIVE CORRESPONDENT/PRESS ASSISTANT  ,5
LEGIS CORRESPONDENT AND SCHEDULE,LEGISLATIVE CORRESPONDENT/SCHEDULER ,5
LEGISLATIVE ASSISTANT AND COUNSEL,LEGISLATIVE ASSISTANT/COUNSEL  ,5
LEGISLATIVE DIRECTOR (OTHER COMPENSATION),LEGISLATIVE DIRECTOR   ,5
"LEGISLATIVE DIRECTOR, NEMW","LEGISLATIVE DIRECTOR, NEMW  ",5
OPERATIONS DIRECTOR,OPERATIONS DIRECTOR  ,5
OVERSIGHT COUNSEL,OVERSIGHT COUNSEL  ,5
PART-TIME EMPLOYEE (OTHER COMPENSATION),PART-TIME EMPLOYEE   ,5
PART-TIME EMPLOYEE (OVERTIME),PART-TIME EMPLOYEE   ,5
PHOTOGRAPHER (OVERTIME),PHOTOGRAPHER   ,5
POLICY ASSISTANT,POLICY ASSISTANT  ,5
RECEPTIONIST AND CASEWORKER,RECEPTIONIST/CASEWORKER  ,5
REPUBLICAN DEPUTY STAFF DIR,REPUBLICAN DEPUTY STAFF DIRECTOR  ,5
REPUBLICAN STAFF ASSISTANT,REPUBLICAN STAFF ASSISTANT  ,5
RESEARCHER,RESEARCHER  ,5
RETAIL INVENTORY SPECIALIST (OVERTIME),RETAIL INVENTORY SPECIALIST   ,5
SECURITY OFFICER,SECURITY OFFICER  ,5
SENIOR CASE MANAGER,SENIOR CASE MANAGER  ,5
SENIOR HISTORICAL RESEARCHER,SENIOR HISTORICAL RESEARCHER  ,5
SENIOR INVESTIGATOR,SENIOR INVESTIGATOR  ,5
SENIOR PROCUREMENT SPECIALIST,SENIOR PROCUREMENT SPECIALIST  ,5
SPECIAL COUNSEL,SPECIAL COUNSEL  ,5
STAFF ASSISTANT & SYSTEM ADMIN,STAFF ASSISTANT AND SYSTEM ADMINISTRATOR  ,5
STAFF ASSISTANT AND ASST SCHEDULER,STAFF ASSISTANT/ASSISTANT SCHEDULER  ,5
STAFF ASSISTANT AND LEGISLATIVE CO,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,5
SYSTEMS ANALYST,SYSTEMS ANALYST  ,5
TEACHER ASSISTANT,TEACHER ASSISTANT  ,5
TEACHER ASSISTANT (A) (OVERTIME),TEACHER ASSISTANT    ,5
TECHNICAL TRAINER,TECHNICAL TRAINER  ,5
TELEPHONE SYSTEMS CONSULTANT,TELEPHONE SYSTEMS CONSULTANT  ,5
